Kat1,Kat2,Count
Fredrick,Janeta,4848
Fredrick,Doretta,7276
Fredrick,Stefa,8988
Fredrick,Bobby,2121
Fredrick,Fayth,6374
Nikita,Janeta,3121
Nikita,Doretta,9550
Nikita,Stefa,2289
Nikita,Bobby,2091
Nikita,Fayth,3188
Edward,Janeta,8523
Edward,Doretta,8053
Edward,Stefa,6981
Edward,Bobby,9965
Edward,Fayth,8145
Nathanael,Janeta,2514
Nathanael,Doretta,4741
Nathanael,Stefa,3349
Nathanael,Bobby,2087
Nathanael,Fayth,5532
Reider,Janeta,5014
Reider,Doretta,9943
Reider,Stefa,2428
Reider,Bobby,7421
Reider,Fayth,6566
